"font-d-16,""rank-sup_rankSup__TNqsa"",""race-progressive-ranking_linkUnderline__9ReuG"",""race-progressive-ranking_linkUnderline__9ReuG href"",""font-d-16 2"",""font-d-12"",""font-d-16 3"",""font-d-12 2"",""font-d-16 4"",""font-d-16 5"",""font-d-16 6"",""font-d-16 7"""
"75,""to"",""Diego PARRILLA LEAL"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/216"",""216"",""ES"",""40-44M"",""Ago Team"",""14"",""70"",""10:13:38"",""03:03:09"""
"76,""to"",""MARIO CESAR RODRIGUEZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/1247"",""1247"",""ES"",""45-49M"",""Independiente"",""11"",""71"",""10:13:46"",""03:03:17"""
"77,""to"",""Jelena MALYSEVA"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/74"",""74"",""LT"",""20-34F"",""Club ESP. Garraf Runners"",""5"",""6"",""10:14:24"",""03:03:55"""
"78,""to"",""Roberto Manuel HERNANDEZ SANTOS"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/1141"",""1141"",""ES"",""45-49M"","""",""12"",""72"",""10:14:50"",""03:04:21"""
"79,""to"",""Guillaume QUERE"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/135"",""135"",""FR"",""35-39M"","""",""17"",""73"",""10:16:27"",""03:05:58"""
"80,""to"",""Jonay MEDINA RODRIGUEZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/229"",""229"",""ES"",""40-44M"",""C.M El Jable"",""15"",""74"",""10:18:07"",""03:07:38"""
"81,""to"",""David SEREROLS TORRAS"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/100"",""100"",""ES"",""20-34M"",""SPHERE PRO"",""24"",""75"",""10:18:09"",""03:07:40"""
"82,""to"",""Jaime VILA GUERRERO"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/161"",""161"",""ES"",""40-44M"",""Es pedal"",""16"",""76"",""10:19:00"",""03:08:31"""
"83,""to"",""Jonay SAAVEDRA SUAREZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/292"",""292"",""ES"",""20-34M"",""Spartrail"",""25"",""77"",""10:19:08"",""03:08:39"""
"84,""to"",""Manuel MARTIN LOPEZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/129"",""129"",""ES"",""20-34M"",""Hilera"",""26"",""78"",""10:19:44"",""03:09:15"""
