"tablescraper-selected-row,""tablescraper-selected-row 2"",""tablescraper-selected-row href"",""tablescraper-selected-row src"",""tablescraper-selected-row 3"",""tablescraper-selected-row 4"",""tablescraper-selected-row 5"",""tablescraper-selected-row 6"",""tablescraper-selected-row src 2"""
"55,""RODRIGUEZ CARABALLO Ruben"",""https://itra.run/RunnerSpace/RODRIGUEZ%20CARABALLO.Ruben/1152033"",""https://itra.run/Files/Photos/pic50477_cac0e9a0.jpg"",""9:29:07"",""36"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"56,""GUIMERA Juanma"",""https://itra.run/RunnerSpace/GUIMERA.Juanma/1387891"",""https://itra.run/images/member-pics/default.jpg"",""9:32:40"",""38"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"57,""SANS Mickael"",""https://itra.run/RunnerSpace/SANS.Mickael/141030"",""https://itra.run/images/member-pics/default.jpg"",""9:33:47"",""31"",""H"",""FRA"",""https://itra.run/images/CountryFlags/fr.svg"""
"58,""Arias Esteban  Sergio Alfonso"",""https://itra.run/RunnerSpace/Arias%20Esteban%20.Sergio%20Alfonso%20/452110"",""https://itra.run/Files/Photos/pic60983_0a5902dd.jpg"",""9:38:55"",""41"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"59,""VAN MECHGELEN Dominique"",""https://itra.run/RunnerSpace/VAN%20MECHGELEN.Dominique/833328"",""https://itra.run/Files/Photos/pic46161_6e512ee7.png"",""9:42:33"",""36"",""F"",""BEL"",""https://itra.run/images/CountryFlags/be.svg"""
"60,""Sturluson Sigurjon"",""https://itra.run/RunnerSpace/Sturluson.Sigurjon/348906"",""https://itra.run/Files/Photos/c1701bb9f6954b4fa24ba65263c31712.jpg"",""9:43:46"",""29"",""H"",""ISL"",""https://itra.run/images/CountryFlags/is.svg"""
"61,""ALESON Imanol"",""https://itra.run/RunnerSpace/ALESON.Imanol/13322"",""https://itra.run/images/member-pics/default.jpg"",""9:46:17"",""47"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"62,""MUJIKA Mayi"",""https://itra.run/RunnerSpace/MUJIKA.Mayi/994019"",""https://itra.run/images/member-pics/default.jpg"",""9:46:46"",""31"",""F"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"63,""CARO GRACIA Alvaro"",""https://itra.run/RunnerSpace/CARO%20GRACIA.Alvaro/1145631"",""https://itra.run/Files/Photos/pic35927_37c0dd2d.jpg"",""9:48:35"",""30"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"64,""MUNOZ PEREZ Daniel"",""https://itra.run/RunnerSpace/MUNOZ%20PEREZ.Daniel/209179"",""https://itra.run/images/member-pics/default.jpg"",""9:49:42"",""43"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"65,""PUIGARNAU Silvia"",""https://itra.run/RunnerSpace/PUIGARNAU.Silvia/638061"",""https://itra.run/Files/Photos/pic26305_838da3a0.jpg"",""9:50:28"",""32"",""F"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"66,""CABANILLAS Rafael"",""https://itra.run/RunnerSpace/CABANILLAS.Rafael/412008"",""https://itra.run/images/member-pics/default.jpg"",""9:50:54"",""34"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"67,""GONZALEZ FRANCISCO Manuel"",""https://itra.run/RunnerSpace/GONZALEZ%20FRANCISCO.Manuel/452077"",""https://itra.run/images/member-pics/default.jpg"",""9:55:17"",""45"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"68,""Aranguren Cangas Cesar"",""https://itra.run/RunnerSpace/Aranguren%20Cangas.Cesar/1421915"",""https://itra.run/images/member-pics/default.jpg"",""9:56:30"",""40"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
