"27,""51"",""Carlos BRAVO CONDE"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1487884336219&method=ResAtletaUid"",""26"",""14 SEN-M"",""SEN"",""PEÑACORADA TRAIL/LOS REJOS"",""15:59:57"",""09:53"",""04:30:10"",""14008"",""M"",""""";
"28,""17"",""Bruno Toribio  AGUILAR GUTIÉRREZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535753245&method=ResAtletaUid"",""27"",""15 SEN-M"",""SEN"",""C.M. LAURISILVA"",""15:59:57"",""09:53"",""04:30:10"",""14008"",""M"",""16 LOC-M""";
"29,""213"",""Roberto GUILARTE SIMÓN"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535752396&method=ResAtletaUid"",""28"",""12 VETA-M"",""VETA"",""-"",""16:09:14"",""09:59"",""04:39:27"",""14006"",""M"",""""";
"30,""487"",""Garikoitz ZUMETA ARTOLA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1476263260821&method=ResAtletaUid"",""29"",""16 SEN-M"",""SEN"",""alpino uzturre"",""16:11:35"",""10:00"",""04:41:48"",""14008"",""M"",""""";
"31,""415"",""Jose Andres RODRIGUEZ PALENZUELA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535745413&method=ResAtletaUid"",""30"",""17 SEN-M"",""SEN"",""Isla baja trail"",""16:17:14"",""10:04"",""04:47:27"",""14008"",""M"",""17 LOC-M""";
"32,""263"",""Jose Juan LOPEZ FIGUERO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1481290968862&method=ResAtletaUid"",""31"",""18 SEN-M"",""SEN"",""ROCK HILL STRIDERS"",""16:27:35"",""10:10"",""04:57:48"",""14008"",""M"",""""";
"33,""324"",""Bruno MONTESDEOCA RAMOS"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705227339&method=ResAtletaUid"",""32"",""19 SEN-M"",""SEN"",""C.T. CANDETLON"",""16:28:24"",""10:11"",""04:58:37"",""14008"",""M"",""18 LOC-M""";
"34,""311"",""Alberto  MEGIDO CASTELLANO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535752203&method=ResAtletaUid"",""33"",""13 VETA-M"",""VETA"",""Bichillorunner"",""16:33:20"",""10:14"",""05:03:33"",""14006"",""M"",""""";
"35,""362"",""Pedro PÉREZ PALENZUELA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705234101&method=ResAtletaUid"",""34"",""20 SEN-M"",""SEN"",""Podonatrail"",""16:34:27"",""10:15"",""05:04:40"",""14008"",""M"",""19 LOC-M""";
"36,""136"",""Avelino FLECHA TASCÓN"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1472256313031&method=ResAtletaUid"",""35"",""2 VETB-M"",""VETB"",""CLUB MONTAÑA VILLALFEIDE"",""16:36:40"",""10:16"",""05:06:53"",""14005"",""M"",""""";
