"my-table_cell__z__zN,""my-table_cell__z__zN 2"",""link_link__96ppl"",""link_link__96ppl href"",""my-table_cell__z__zN 3"",""my-table_cell__z__zN 4"",""my-table_cell__z__zN 5"""
"57,""18:03:50"",""Juan Manuel ALVAREZ CANO"",""https://utmb.world/en/runner/1054791.juanmanuel.alvarezcano"",""Spain"",""men"",""40-44"""
"58,""18:07:35"",""P, Sergio SANTANA MOLINA"",""https://utmb.world/en/runner/2052441.p-sergio.santanamolina"",""Spain"",""men"",""50-54"""
"59,""18:09:24"",""Javier MORENO-ÁLVAREZ"",""https://utmb.world/en/runner/234962.javier.morenoalvarez"",""Spain"",""men"",""45-49"""
"60,""18:13:54"",""Jorge GONZÁLEZ PÉREZ"",""https://utmb.world/en/runner/1348427.jorge.gonzalezperez"",""Spain"",""men"",""40-44"""
"61,""18:17:36"",""Ayoze ENCINOSO-FAJARDO"",""https://utmb.world/en/runner/262473.ayoze.encinosofajardo"",""Spain"",""men"",""40-44"""
"62,""18:28:45"",""Alfredo VILA SIEIRA"",""https://utmb.world/en/runner/2439355.alfredo.vilasieira"",""Spain"",""men"",""40-44"""
"63,""18:29:05"",""Pierre DECHNIK"",""https://utmb.world/en/runner/725637.pierre.dechnik"",""France"",""men"",""45-49"""
"64,""18:29:47"",""Carlos Gustavo PEREZ RAVELO"",""https://utmb.world/en/runner/264639.carlosgustavo.perezravelo"",""Spain"",""men"",""35-39"""
"65,""18:32:35"",""Igno GARCÍA DEL CASTLLO"",""https://utmb.world/en/runner/4169382.igno.garciadelcastllo"",""Spain"",""men"",""45-49"""
"66,""18:32:44"",""José-Manuel GONZALEZ-LEON"",""https://utmb.world/en/runner/1001909.josemanuel.gonzalezleon"",""Spain"",""men"",""45-49"""
"67,""18:32:55"",""Raul LONGOBARDO SANCHEZ-ELVIRA"",""https://utmb.world/en/runner/2427719.raul.longobardosanchezelvira"",""Spain"",""men"",""20-34"""
"68,""18:33:24"",""Robert MOORE"",""https://utmb.world/en/runner/1242013.robert.moore"",""Belgium"",""men"",""45-49"""
"69,""18:34:03"",""Francisco MOLINA GIL"",""https://utmb.world/en/runner/2103363.francisco.molinagil"",""Spain"",""men"",""45-49"""
"70,""18:35:15"",""Saulo OJEDA"",""https://utmb.world/en/runner/401536.saulo.ojeda"",""Spain"",""men"",""45-49"""
"71,""18:36:51"",""Jose-Antonio CASTAN-PERALTA"",""https://utmb.world/en/runner/923085.joseantonio.castanperalta"",""Spain"",""men"",""40-44"""
"72,""18:38:02"",""Jorge SALAZAR"",""https://utmb.world/en/runner/984451.jorge.salazar"",""Spain"",""men"",""20-34"""
"73,""18:40:47"",""Jose BORDON"",""https://utmb.world/en/runner/963115.jose.bordon"",""Spain"",""men"",""20-34"""
"74,""18:43:11"",""Reinaldo LOSADA-CABRERA"",""https://utmb.world/en/runner/833425.reinaldo.losadacabrera"",""Spain"",""men"",""40-44"""
"75,""18:43:47"",""Javier IZQUIERDO CANO"",""https://utmb.world/en/runner/3260641.javier.izquierdocano"",""Spain"",""men"",""20-34"""
"76,""18:44:29"",""Victorio HERNANDEZ RODRIGUEZ"",""https://utmb.world/en/runner/975785.victorio.hernandezrodriguez"",""Spain"",""men"",""45-49"""
"77,""18:45:47"",""Alberto Jesús LEDESMA RAMOS"",""https://utmb.world/en/runner/1614127.albertojesus.ledesmaramos"",""Spain"",""men"",""35-39"""
"78,""18:50:23"",""Francisco Antonio CALVO MARTINEZ"",""https://utmb.world/en/runner/172314.franciscoantonio.calvomartinez"",""Spain"",""men"",""45-49"""
"79,""18:52:37"",""Marina PLAVAN"",""https://utmb.world/en/runner/59285.marina.plavan"",""Italy"",""women"",""60-64"""
"80,""18:53:33"",""Leonardo GONZALEZ SARMIENTO"",""https://utmb.world/en/runner/372488.leonardo.gonzalezsarmiento"",""Spain"",""men"",""45-49"""
"81,""18:53:47"",""Álvaro ALONSO-ÁNGEL-DE LA ROSA (Alvaro ALONSO ANGEL DE LA ROSA)"",""https://utmb.world/en/runner/797619.alvaro.alonsoangeldelarosa"",""Spain"",""men"",""35-39"""
"82,""18:53:52"",""Abel BAPTISTA"",""https://utmb.world/en/runner/1024441.abel.baptista"",""Portugal"",""men"",""55-59"""
"83,""18:57:51"",""Kandela YANES HERNANDEZ"",""https://utmb.world/en/runner/2347255.kandela.yaneshernandez"",""Spain"",""women"",""45-49"""
"84,""18:59:05"",""Anonymous"",""https://utmb.world/en/runner/null"",""Switzerland"",""men"",""50-54"""
"85,""18:59:42"",""Moisés HERNÁNDEZ TOLEDO"",""https://utmb.world/en/runner/2052367.moises.hernandeztoledo"",""Spain"",""men"",""40-44"""
"86,""19:00:45"",""Luca PAPI"",""https://utmb.world/en/runner/6322.luca.papi"",""Italy"",""men"",""40-44"""
"87,""19:03:51"",""Ibrahim GONZALEZ-GONZALEZ"",""https://utmb.world/en/runner/980037.ibrahim.gonzalezgonzalez"",""Spain"",""men"",""35-39"""
"88,""19:04:42"",""Jose-Ramon HERNANDEZ-SANTANA"",""https://utmb.world/en/runner/551018.joseramon.hernandezsantana"",""Spain"",""men"",""50-54"""
"89,""19:04:53"",""Anabel DE LA ROSA-MOLINA"",""https://utmb.world/en/runner/272971.anabel.delarosamolina"",""Spain"",""women"",""35-39"""
"90,""19:04:53"",""Héctor GONZÁLEZ SANTANA"",""https://utmb.world/en/runner/3544733.hector.gonzalezsantana"",""Spain"",""men"",""40-44"""
"91,""19:06:54"",""Agoney CURBELO-GUERRA"",""https://utmb.world/en/runner/925243.agoney.curbeloguerra"",""Spain"",""men"",""35-39"""
"92,""19:07:51"",""Juan José PERDOMO LOPEZ"",""https://utmb.world/en/runner/1614115.juanjose.perdomolopez"",""Spain"",""men"",""35-39"""
"93,""19:09:12"",""Angel LIAÑO-SANCHEZ"",""https://utmb.world/en/runner/666841.angel.lianosanchez"",""Spain"",""men"",""45-49"""
"94,""19:09:34"",""Diego-Miguel MARTIN-MARRERO"",""https://utmb.world/en/runner/272843.diegomiguel.martinmarrero"",""Spain"",""men"",""55-59"""
"95,""19:14:27"",""José JONTE"",""https://utmb.world/en/runner/673185.jose.jonte"",""Switzerland"",""men"",""50-54"""
"96,""19:15:48"",""Jose Javier ROLDAN GARCIA"",""https://utmb.world/en/runner/1510317.josejavier.roldangarcia"",""Spain"",""men"",""40-44"""
"97,""19:18:51"",""Arsenio MARTIN-GONZALEZ"",""https://utmb.world/en/runner/380955.arsenio.martingonzalez"",""Spain"",""men"",""45-49"""
"98,""19:19:01"",""Emilio Jose PEREZ TORRES"",""https://utmb.world/en/runner/4579483.emiliojose.pereztorres"",""Spain"",""men"",""40-44"""
"99,""19:27:57"",""Felix SANTANA-QUINTANA"",""https://utmb.world/en/runner/945133.felix.santanaquintana"",""Spain"",""men"",""50-54"""
"100,""19:34:21"",""Claudia MOLA"",""https://utmb.world/en/runner/587993.claudia.mola"",""Spain"",""women"",""20-34"""
"101,""19:34:32"",""Ezequiel CARDENES-SARMIENTO"",""https://utmb.world/en/runner/957633.ezequiel.cardenessarmiento"",""Spain"",""men"",""35-39"""
"102,""19:34:33"",""David QUINTANA"",""https://utmb.world/en/runner/233011.david.quintana"",""Spain"",""men"",""45-49"""
"103,""19:36:30"",""Ricardo RODRIGUEZ-MORALES"",""https://utmb.world/en/runner/803629.ricardo.rodriguezmorales"",""Spain"",""men"",""35-39"""
"104,""19:38:14"",""Marek NAVRATIL"",""https://utmb.world/en/runner/200395.marek.navratil"",""Czech Republic"",""men"",""50-54"""
"105,""19:39:22"",""Andres-Zebenzui DIAZ-PALENZUELA"",""https://utmb.world/en/runner/551009.andreszebenzui.diazpalenzuela"",""Spain"",""men"",""35-39"""
"106,""19:41:25"",""Jose-Vicente VICENT-MARCHAN"",""https://utmb.world/en/runner/562433.josevicente.vicentmarchan"",""Spain"",""men"",""40-44"""
"107,""19:42:15"",""Xabier PRIETO ALONSO"",""https://utmb.world/en/runner/1508639.xabier.prietoalonso"",""Spain"",""men"",""35-39"""
"108,""19:43:29"",""Pato VELEZ"",""https://utmb.world/en/runner/4169383.pato.velez"",""Spain"",""men"",""35-39"""
"109,""19:43:56"",""Jose-Javier PEREZ-HERNANDEZ"",""https://utmb.world/en/runner/273381.josejavier.perezhernandez"",""Spain"",""men"",""50-54"""
"110,""19:45:22"",""Javier GARCIA MARICHAL"",""https://utmb.world/en/runner/173618.javier.garciamarichal"",""Spain"",""men"",""50-54"""
"111,""19:46:07"",""Miguel MARCHAL COBA"",""https://utmb.world/en/runner/2162835.miguel.marchalcoba"",""Spain"",""men"",""55-59"""
"112,""19:48:35"",""Juan TORRES"",""https://utmb.world/en/runner/4169384.juan.torres"",""Spain"",""men"",""40-44"""
"113,""19:48:43"",""Javier SANCHEZ-FELIPE"",""https://utmb.world/en/runner/150924.javier.sanchezfelipe"",""Spain"",""men"",""45-49"""
"114,""19:49:49"",""Jose-Carlos GARCIA-FAGUNDO"",""https://utmb.world/en/runner/13138.josecarlos.garciafagundo"",""Spain"",""men"",""50-54"""
"115,""19:50:02"",""Juan-Francisco HERNANDEZ-DE LA ROSA"",""https://utmb.world/en/runner/12262.juanfrancisco.hernandezdelarosa"",""Spain"",""men"",""40-44"""
"116,""19:52:18"",""Ignacio PENA GUTIÉRREZ"",""https://utmb.world/en/runner/1891405.ignacio.penagutierrez"",""Spain"",""men"",""40-44"""
"117,""19:54:07"",""Quentin LEFEBVRE"",""https://utmb.world/en/runner/1917053.quentin.lefebvre"",""France"",""men"",""20-34"""
"118,""19:58:04"",""Fernando ROSADO JIMENEZ"",""https://utmb.world/en/runner/1510285.fernando.rosadojimenez"",""Spain"",""men"",""40-44"""
"119,""20:00:39"",""Yeray YANES-GONZÁLEZ"",""https://utmb.world/en/runner/979975.yeray.yanesgonzalez"",""Spain"",""men"",""20-34"""
"120,""20:02:22"",""Marcos GRANDE GOMEZ"",""https://utmb.world/en/runner/2969857.marcos.grandegomez"",""Spain"",""men"",""35-39"""
"121,""20:02:31"",""Anthony SAMAIN"",""https://utmb.world/en/runner/365817.anthony.samain"",""Belgium"",""men"",""50-54"""
"122,""20:05:35"",""Israel REYES-PEREZ"",""https://utmb.world/en/runner/174949.israel.reyesperez"",""Spain"",""men"",""45-49"""
"123,""20:06:39"",""Raquel LINARES-MATEO"",""https://utmb.world/en/runner/226194.raquel.linaresmateo"",""Spain"",""women"",""40-44"""
"124,""20:08:58"",""Victor Manuel GONZALEZ GONZALEZ"",""https://utmb.world/en/runner/3400995.victormanuel.gonzalezgonzalez"",""Spain"",""men"",""45-49"""
"125,""20:12:08"",""Alberto VEGA-MORALES"",""https://utmb.world/en/runner/13014.alberto.vegamorales"",""Spain"",""men"",""50-54"""
"126,""20:12:33"",""Pedro GUTIERREZ-HERNANDEZ"",""https://utmb.world/en/runner/797963.pedro.gutierrezhernandez"",""Spain"",""men"",""45-49"""
"127,""20:15:37"",""Jorge CABRERA-DIAZ"",""https://utmb.world/en/runner/589790.jorge.cabreradiaz"",""Spain"",""men"",""20-34"""
"128,""20:20:15"",""Richard GARCÍA"",""https://utmb.world/en/runner/1614181.richard.garcia"",""Spain"",""men"",""40-44"""
"129,""20:21:01"",""Carlos MARCOS TILLO"",""https://utmb.world/en/runner/951315.carlos.marcostillo"",""Spain"",""men"",""50-54"""
"130,""20:23:06"",""Thomas KETTELER"",""https://utmb.world/en/runner/298080.thomas.ketteler"",""Germany"",""men"",""45-49"""
"131,""20:26:10"",""Davy VAN DEN WIJNGAERDE"",""https://utmb.world/en/runner/1931859.davy.vandenwijngaerde"",""Belgium"",""men"",""35-39"""
"132,""20:26:51"",""Luis ALTADILL GARRO"",""https://utmb.world/en/runner/1997939.luis.altadillgarro"",""Spain"",""men"",""50-54"""
"133,""20:28:34"",""Alexey KLIMIN"",""https://utmb.world/en/runner/378765.alexey.klimin"",""Russia"",""men"",""60-64"""
"134,""20:29:16"",""Raul SANTANA QUINTANA"",""https://utmb.world/en/runner/3156693.raul.santanaquintana"",""Spain"",""men"",""45-49"""
"135,""20:31:47"",""Rudi DUMOULIN"",""https://utmb.world/en/runner/946915.rudi.dumoulin"",""Belgium"",""men"",""50-54"""
"136,""20:32:41"",""Angel YUSTE"",""https://utmb.world/en/runner/11778.angel.yuste"",""Spain"",""men"",""60-64"""
"137,""20:33:19"",""Javier MAZARIAS"",""https://utmb.world/en/runner/126416.javier.mazarias"",""Spain"",""men"",""40-44"""
"138,""20:38:22"",""Guiillermo BETHENCOURT JORGE"",""https://utmb.world/en/runner/4169385.guiillermo.bethencourtjorge"",""Spain"",""men"",""20-34"""
"139,""20:38:22"",""Nira Rosa CASTRO LOPEZ"",""https://utmb.world/en/runner/833810.nirarosa.castrolopez"",""Spain"",""women"",""35-39"""
"140,""20:39:21"",""Andrés GARCÍA-ALGARRA"",""https://utmb.world/en/runner/614478.andres.garciaalgarra"",""Spain"",""men"",""40-44"""
"141,""20:41:13"",""Ludovic GRINDU"",""https://utmb.world/en/runner/2269491.ludovic.grindu"",""France"",""men"",""40-44"""
"142,""20:42:00"",""Carlos CELAYA-ESCRIBANO"",""https://utmb.world/en/runner/707116.carlos.celayaescribano"",""Spain"",""men"",""40-44"""
"143,""20:45:30"",""Oliver Fermín CRUZ RODRÍGUEZ"",""https://utmb.world/en/runner/1951051.oliverfermin.cruzrodriguez"",""Spain"",""men"",""20-34"""
"144,""20:45:31"",""Noel ALONSO EXPÓSITO"",""https://utmb.world/en/runner/2052363.noel.alonsoexposito"",""Spain"",""men"",""35-39"""
"145,""20:46:40"",""Fco Javier SALAZAR DELGADO"",""https://utmb.world/en/runner/1614161.fcojavier.salazardelgado"",""Spain"",""men"",""40-44"""
