"pl,""do"",""tablescraper-selected-row"",""flg src"",""tablescraper-selected-row 2"",""c"",""tablescraper-selected-row 3"",""tp"",""tp 2"",""tp 3"",""tp 4"",""tp 5"",""tp 6"",""tp 7"",""tablescraper-selected-row 4"",""c 2"""
"80.,""64"",""Hugo SA"",""https://www.chronorace.es/carreras/flag/24/PT.png"",""INDEPENDENT"",""Hombre"",""ABS M"",""3:13:11"",""6:06:11"",""7:55:05"",""9:14:25"",""13:02:08"",""14:02:58"",""15:15:47"",""4,19"",""48"""
"81.,""14"",""Orlando Doramas MÁRQUEZ CABRERA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""ABS M"",""Hombre"",""4,17"",""3:06:47"",""6:01:16"",""8:10:48"",""9:25:59"",""12:53:21"",""14:03:59"",""15:20:29"","""",""49"""
"82.,""157"",""Manuel SOTO GARCIA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""VET M"",""Hombre"",""4,17"",""3:08:18"",""5:48:26"",""7:48:33"",""9:02:56"",""12:40:20"",""13:55:38"",""15:20:51"","""",""21"""
"83.,""50"",""Antonio COZZI"",""https://www.chronorace.es/carreras/flag/24/IT.png"",""ATLETA SINGOLO"",""Hombre"",""VET M"",""3:34:25"",""6:41:54"",""8:37:01"",""9:52:01"",""12:57:12"",""14:05:46"",""15:21:14"",""4,17"",""22"""
"84.,""129"",""Vasili SAMAK"",""https://www.chronorace.es/carreras/flag/24/BY.png"",""INDEPENDIENTE"",""Hombre"",""ABS M"",""3:01:06"",""6:01:42"",""7:59:58"",""9:18:09"",""12:54:35"",""14:00:21"",""15:21:55"",""4,17"",""50"""
"85.,""67"",""Stuart PALMER"",""https://www.chronorace.es/carreras/flag/24/GB.png"",""VET M"",""Hombre"",""4,16"",""3:06:03"",""5:39:34"",""7:39:25"",""8:57:50"",""12:39:02"",""13:55:43"",""15:23:29"","""",""23"""
"86.,""89"",""Juan Antonio RAMOS DELGADO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""GUADAMOJETE TRAIL"",""Hombre"",""ABS M"",""3:16:31"",""6:10:14"",""8:04:35"",""9:29:56"",""12:58:56"",""14:06:42"",""15:26:02"",""4,15"",""51"""
"87.,""85"",""Jorge GINES ALGABA"",""https://www.chronorace.es/carreras/flag/24/US.png"",""PRIME NATURE MRM"",""Hombre"",""VET M"",""3:07:55"",""6:04:16"",""8:00:28"",""9:12:37"",""13:02:42"",""14:07:16"",""15:31:17"",""4,12"",""24"""
"88.,""39"",""Davide REGANO"",""https://www.chronorace.es/carreras/flag/24/IT.png"",""ASSOCIAZIONE MARATONETI ANDRIESI"",""Hombre"",""ABS M"",""3:26:36"",""6:17:53"",""8:29:04"",""9:40:01"",""13:07:36"",""14:15:03"",""15:38:13"",""4,09"",""52"""
"89.,""131"",""Guenter TRIEBEL"",""https://www.chronorace.es/carreras/flag/24/AT.png"",""VET M"",""Hombre"",""4,05"",""3:18:59"",""6:17:02"",""8:06:34"",""9:29:55"",""13:13:24"",""14:21:16"",""15:47:27"","""",""25"""
"90.,""115"",""Juan Carlos PICO TRESGALLO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""SOCIEDAD DEPORTIVA TORRELAVEGA"",""Hombre"",""VET M"",""3:48:17"",""7:03:11"",""8:53:50"",""10:10:01"",""13:30:50"",""14:31:03"",""15:47:36"",""4,05"",""26"""
"91.,""139"",""Michel CASSIERS"",""https://www.chronorace.es/carreras/flag/24/BE.png"",""VET M"",""Hombre"",""3,99"",""3:45:27"",""6:43:45"",""8:39:56"",""9:52:57"",""13:38:12"",""14:44:13"",""16:02:37"","""",""27"""
"92.,""127"",""María Gema GARCÍA ORTÍZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""VET F"",""Mujer"",""3,98"",""3:31:45"",""6:29:36"",""8:36:55"",""10:00:08"",""13:43:26"",""14:49:41"",""16:04:44"","""",""8"""
"93.,""169"",""Jose Miguel GARCIA DELGADO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""C.D. CRESTA TRAIL TEAM ( HARIA TRAIL TEAM )"",""Hombre"",""ABS M"",""3:26:16"",""6:26:38"",""8:22:35"",""9:30:08"",""13:26:33"",""14:40:46"",""16:06:29"",""3,97"",""53"""
